id,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
e5bf83d96f9751cf, full, 5, 16, , , , , , , 2, 2, 2, yes
4f61478ff21223b0, full, 4, 10, 30s, 4, yes, 2, 3, 1, 3, 2, 2, yes
19a0a2235b345add, intentional, 1, 19, 40s, 4, yes, 2, 3, 2, 4, 3, 4, yes
8fcaa62476ea7c26, outer, 5, 17, 20s, 4, yes, 2, 4, 1, 3, 2, 1, yes
e9402a9ba7d42b70, full, 2, 17, 40s, 4, yes, 3, 4, 1, 3, 2, 2, yes
05342ea0a157f2f6, outer, 2, 8, 40s, 4, yes, 3, 2, 2, 2, 1, 3, yes
eebd59d309b409f1, intentional, 5, 16, 20s, 4, yes, 3, 4, 3, 3, 2, 2, yes
ae75dd4c2c8dc843, full, 1, 1, 50s, 3, no, 1, 1, 1, 4, 3, 4, yes
70365808c334216b, full, 4, 16, 40s, 4, yes, 4, 4, 3, 3, 2, 1, yes
befac2ddbf9df4dd, full, 1, 19, 50s, 3, yes, 1, 1, 1, 4, 4, 5, yes
d50a5784d54f4c76, outer, 1, 11, 20s, 4, yes, 3, 3, 2, 4, 2, 2, yes
ecf029ec946c0efa, intentional, 1, 14, 20s, 4, yes, 2, 2, 2, 2, 2, 2, yes
92977e45eb872e9b, full, 1, 20, 30s, 3, no, 3, 4, 1, 5, 3, 3, yes
95d41a301cf5e2b3, intentional, 1, 17, 30s, 4, yes, 3, 4, 1, 3, 2, 2, yes
2119fe68a204e42a, outer, 2, 4, 20s, 4, yes, 4, 4, 4, 3, 2, 4, yes
37c7c349aa426fce, intentional, 4, 17, 50s, 4, yes, 3, 4, 1, 3, 3, 3, yes
9c4f781173d0fb2d, intentional, 3, 13, 20s, 4, yes, 3, 4, 2, 2, 1, 1, yes
7d60c2f6cdea2895, full, 4, 2, 30s, 3, yes, 2, 4, 1, 2, 2, 2, yes
4129b562fe425a0b, full, 4, 2, 20s, 4, yes, 4, 4, 4, 4, 1, 4, yes
e94bf9e6daf555e4, intentional, 1, 14, , , , , , , , , , yes
767257f0a1f98ea8, outer, 4, 18, 20s, 4, yes, 2, 2, 1, 4, 3, 4, yes
